"","year","buyer_region","State_pop_year","disposable_per_cap_income"
"1",2017,"Alabama",4.874,36447
"2",2018,"Alabama",4.888,37914
"3",2019,"Alabama",4.903,39199
"4",2017,"Alaska",0.7397,52701
"5",2018,"Alaska",0.735139,55421
"6",2019,"Alaska",0.731545,57020
"7",2017,"Arizona",7.044,38851
"8",2018,"Arizona",7.158,40733
"9",2019,"Arizona",7.279,42454
"10",2017,"Arkansas",3.001,37989
"11",2018,"Arkansas",3.01,39768
"12",2019,"Arkansas",3.018,40901
"13",2017,"California",39.36,50350
"14",2018,"California",39.46,52560
"15",2019,"California",39.51,54936
"16",2017,"Colorado",5.612,48307
"17",2018,"Colorado",5.691,51395
"18",2019,"Colorado",5.759,53636
"19",2017,"Connecticut",3.573,59252
"20",2018,"Connecticut",3.572,62207
"21",2019,"Connecticut",3.565,63459
"22",2017,"Delaware",0.956823,44699
"23",2018,"Delaware",0.965479,46865
"24",2019,"Delaware",0.973764,47210
"25",2017,"District of Columbia",0.672391,67942
"26",2018,"District of Columbia",0.684498,69852
"27",2019,"District of Columbia",0.692683,69911
"28",2017,"Florida",20.96,43230
"29",2018,"Florida",21.24,46054
"30",2019,"Florida",21.48,47751
"31",2017,"Georgia",10.41,39937
"32",2018,"Georgia",10.51,41855
"33",2019,"Georgia",10.62,43461
"34",2017,"Hawaii",1.424,45419
"35",2018,"Hawaii",1.421,46604
"36",2019,"Hawaii",1.416,47968
"37",2017,"Idaho",1.718,37353
"38",2018,"Idaho",1.751,39162
"39",2019,"Idaho",1.787,40862
"40",2017,"Illinois",12.78,47152
"41",2018,"Illinois",12.72,49711
"42",2019,"Illinois",12.67,50896
"43",2017,"Indiana",6.658,40611
"44",2018,"Indiana",6.695,42710
"45",2019,"Indiana",6.732,43912
"46",2017,"Iowa",3.142,42306
"47",2018,"Iowa",3.149,44327
"48",2019,"Iowa",3.155,44952
"49",2017,"Kansas",2.909,43796
"50",2018,"Kansas",2.911,45633
"51",2019,"Kansas",2.913,47311
"52",2017,"Kentucky",4.452,36515
"53",2018,"Kentucky",4.461,37757
"54",2019,"Kentucky",4.468,39088
"55",2017,"Louisiana",4.671,40174
"56",2018,"Louisiana",4.66,42204
"57",2019,"Louisiana",4.649,43421
"58",2017,"Maine",1.335,41657
"59",2018,"Maine",1.339,43502
"60",2019,"Maine",1.344,44896
"61",2017,"Maryland",6.024,51249
"62",2018,"Maryland",6.036,52597
